ResultMeasureValue,ActivityStartDate,hour,doy,MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,ProjectIdentifier,WVHT,WTMP,beach_angle,Water Level,DNI_1,WindDir,WindSpd,SLP,AirTemp,visibility,wet3,wet7,3T,7T,tide_gtm,tide_mean,awind,owind
10.0,2014-10-15,10,288,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.87,23.6,262.0,7.263,34,350.0,3.6,1016.4,21.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,3.6,0.0
10.0,2014-06-09,10,160,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.88,22.0,262.0,6.6,1560,220.0,3.1,1010.4,18.9,11265.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-2.17,2.17
42.0,2014-04-22,10,112,CABEACH_WQX-MB-053,32.784102,-117.20933,CA246103,0.94,18.7,258.0,4.103,6852,210.0,1.5,1016.2,16.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.0499999999999998,1.0499999999999998
200.0,2014-12-30,10,364,CABEACH_WQX-IB-030,32.555139,-117.12932,CA104746,0.8,16.9,239.0,3.569,1359,260.0,7.7,1017.5,15.0,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,3.08,6.930000000000001
14.0,2014-09-30,10,273,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,1.14,22.9,264.0,5.96,1499,360.0,0.0,1011.5,22.8,14484.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.0,-0.0
20.0,2014-09-16,10,259,CABEACH_WQX-EH-200,32.7147676,-117.22415,CA114913,1.28,25.0,167.0,-0.129,6039,300.0,2.6,1008.4,29.4,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,1.82,-1.82
10.0,2014-06-25,10,176,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.7,22.9,262.0,7.647,1061,190.0,2.6,1014.0,19.4,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-2.6,0.78
10.0,2014-07-22,10,203,CABEACH_WQX-EH-200,32.7147676,-117.22415,CA114913,0.82,22.7,167.0,7.647,1130,320.0,3.6,1018.3,22.8,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,1.8,-3.24
10.0,2014-11-24,10,328,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,1.59,19.6,268.0,3.569,60,10.0,0.0,1023.6,21.7,16000.0,0.0,1.0,0.0,1.1,1,3.2487358259183208,0.0,-0.0
72.0,2014-03-18,10,77,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,2.55,19.3,268.0,4.123,1782,180.0,1.5,1012.0,17.2,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.5,0.0
10.0,2014-05-14,10,134,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.68,20.2,262.0,4.185,707,270.0,2.1,1015.9,31.1,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.21,2.1
2.0,2014-02-25,10,56,CABEACH_WQX-IB-040,32.562869,-117.13259,CA104746,0.86,17.4,259.0,3.569,8602,70.0,0.0,1017.0,17.8,14000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.0,-0.0
10.0,2014-04-14,10,104,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.73,17.7,262.0,6.272,1862,320.0,4.6,1017.0,18.9,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,3.68,2.3
1200.0,2014-12-18,10,352,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,2.06,18.3,264.0,3.749,2113,190.0,2.1,1023.4,15.6,16000.0,1.0,1.0,21.4,37.3,1,3.2487358259183208,-2.1,0.63
53.0,2014-05-20,10,140,CABEACH_WQX-EH-200,32.7147676,-117.22415,CA114913,1.38,20.9,167.0,4.29,823,210.0,2.6,1017.2,18.3,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,1.82,1.82
2.0,2014-03-25,10,84,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,0.97,19.5,267.0,3.382,562,250.0,3.1,1017.0,16.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.93,3.1
20.0,2014-05-07,10,127,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,2.68,19.1,268.0,3.382,12049,230.0,4.1,1016.1,16.7,12875.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-2.4599999999999995,3.28
6.0,2014-07-01,10,182,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,1.42,23.3,267.0,4.602,1287,270.0,1.5,1012.5,21.1,14484.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.15,1.5
10.0,2014-09-10,10,253,CABEACH_WQX-MB-060,32.7884,-117.2096,CA891580,0.99,24.1,221.0,3.828,3205,300.0,3.1,1012.8,26.3,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,3.1,0.6200000000000001
31.0,2014-07-09,10,190,CABEACH_WQX-MB-060,32.7884,-117.2096,CA891580,0.62,25.0,221.0,4.304,2281,240.0,2.6,1015.1,22.8,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.78,2.3400000000000003
2.0,2014-04-22,10,112,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,1.27,18.7,264.0,5.685,6852,210.0,1.5,1016.2,16.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.2000000000000002,0.8999999999999999
2.0,2014-08-26,10,238,CABEACH_WQX-IB-030,32.555139,-117.12932,CA104746,1.56,23.6,239.0,6.961,2493,290.0,2.1,1015.4,24.4,16093.0,0.0,1.0,0.0,0.3,1,3.2487358259183208,1.6800000000000002,1.26
2.0,2014-04-01,10,91,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,1.23,18.6,267.0,6.961,10410,350.0,5.7,1017.4,14.4,11265.0,1.0,1.0,1.3,2.1,1,3.2487358259183208,5.7,0.5700000000000001
4.0,2014-04-29,10,119,CABEACH_WQX-EH-310,32.8475,-117.2782,CA273334,1.1,16.6,19.0,2.074,899,250.0,1.5,1016.1,28.3,16093.0,0.0,1.0,0.0,4.4,0,2.88932899840292,-1.2000000000000002,-0.8999999999999999
2.0,2014-04-08,10,98,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,1.21,17.8,267.0,0.688,248,310.0,3.1,1019.3,24.4,16093.0,0.0,1.0,0.0,7.9,0,3.2487358259183208,2.17,2.17
31.0,2014-05-06,10,126,CABEACH_WQX-MB-053,32.784102,-117.20933,CA246103,1.25,19.9,258.0,3.654,11927,250.0,6.7,1014.3,16.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.67,6.7
20.0,2014-04-29,10,119,CABEACH_WQX-MB-060,32.7884,-117.2096,CA891580,1.1,19.2,221.0,3.766,899,250.0,1.5,1016.1,28.3,16093.0,0.0,1.0,0.0,4.4,1,3.2487358259183208,0.75,1.35
2.0,2014-10-14,10,287,CABEACH_WQX-IB-030,32.555139,-117.12932,CA104746,1.15,23.4,239.0,3.831,805,160.0,0.0,1016.4,21.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.0,0.0
2.0,2014-01-07,10,7,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,0.57,15.4,264.0,7.745,90,160.0,3.1,1021.0,17.2,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-3.1,-0.6200000000000001
10.0,2014-11-10,10,314,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.75,21.3,262.0,6.656,5476,220.0,4.1,1013.0,18.9,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-2.87,2.87
10.0,2014-11-24,10,328,CABEACH_WQX-MB-205,32.77605,-117.2382,CA211999,0.95,19.6,15.0,3.615,60,10.0,0.0,1023.6,21.7,16000.0,0.0,1.0,0.0,1.1,1,3.2487358259183208,-0.0,0.0
28.0,2014-01-28,10,28,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,1.55,16.3,264.0,3.07,672,300.0,1.5,1020.8,14.4,6000.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,0.8999999999999999,1.2000000000000002
2.0,2014-04-08,10,98,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,1.21,17.8,259.0,3.749,248,310.0,3.1,1019.3,24.4,16093.0,0.0,1.0,0.0,7.9,1,3.2487358259183208,2.4800000000000004,1.86
53.0,2014-01-30,10,30,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.31,16.5,262.0,4.29,899,180.0,4.6,1015.4,16.1,8000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-4.6,0.4599999999999999
124.0,2014-05-20,10,140,CABEACH_WQX-MB-205,32.77605,-117.2382,CA211999,0.86,20.9,15.0,2.486,823,210.0,2.6,1017.2,18.3,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,-0.78,-2.6
2.0,2014-03-18,10,77,CABEACH_WQX-IB-040,32.562869,-117.13259,CA104746,2.55,19.3,259.0,6.961,1782,180.0,1.5,1012.0,17.2,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.5,0.3
10.0,2014-07-02,10,183,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,1.05,23.3,268.0,7.263,2292,280.0,3.6,1013.2,20.6,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.7200000000000001,3.6
10.0,2014-11-12,10,316,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,0.82,21.0,268.0,4.185,5368,320.0,2.1,1016.5,19.4,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,1.6800000000000002,1.26
531.0,2014-10-17,10,290,CABEACH_WQX-MB-060,32.7884,-117.2096,CA891580,1.12,23.6,221.0,5.193,1215,250.0,2.1,1015.8,21.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,1.05,1.89
31.0,2014-10-14,10,287,CABEACH_WQX-EH-200,32.7147676,-117.22415,CA114913,0.96,23.4,167.0,5.245,805,160.0,0.0,1016.4,21.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.0,0.0
2.0,2014-08-26,10,238,CABEACH_WQX-IB-040,32.562869,-117.13259,CA104746,1.56,23.6,259.0,1.909,2493,290.0,2.1,1015.4,24.4,16093.0,0.0,1.0,0.0,0.3,0,3.2487358259183208,1.05,1.89
10.0,2014-07-02,10,183,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.93,23.3,262.0,5.731,2292,280.0,3.6,1013.2,20.6,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,1.08,3.6
2.0,2014-09-16,10,259,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,1.28,25.0,268.0,2.568,6039,300.0,2.6,1008.4,29.4,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,1.3,2.08
10.0,2014-06-11,10,162,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,1.01,20.3,268.0,2.568,10405,310.0,3.6,1013.0,21.1,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,2.52,2.52
200.0,2014-05-20,10,140,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,1.66,20.9,264.0,5.084,823,210.0,2.6,1017.2,18.3,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-2.08,1.56
10.0,2014-01-23,10,23,CABEACH_WQX-EH-010,32.5726652,-117.1332,CA068221,1.37,16.0,266.0,3.382,19,160.0,2.1,1016.1,13.3,6000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-2.1,-0.63
2.0,2014-01-14,10,14,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,1.16,15.7,259.0,5.685,0,330.0,0.0,1025.7,21.1,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.0,0.0
10.0,2014-10-16,10,289,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,0.98,23.5,268.0,3.608,0,70.0,0.0,1016.7,21.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.0,-0.0
2.0,2014-09-16,10,259,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,1.28,25.0,267.0,3.096,6039,300.0,2.6,1008.4,29.4,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,1.3,2.08
4.0,2014-08-19,10,231,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,1.13,23.9,259.0,7.532,7384,180.0,4.1,1013.3,21.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-4.1,0.82
10.0,2014-10-01,10,274,CABEACH_WQX-MB-205,32.77605,-117.2382,CA211999,0.84,22.9,15.0,2.64,481,150.0,1.5,1010.8,20.6,11265.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,1.0499999999999998,-1.0499999999999998
10.0,2014-02-05,10,36,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,1.47,16.2,268.0,6.977,6429,80.0,1.5,1020.6,15.6,16000.0,1.0,1.0,2.5,2.8000000000000003,1,3.2487358259183208,0.15,-1.5
2.0,2014-10-14,10,287,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,1.15,23.4,259.0,3.07,805,160.0,0.0,1016.4,21.7,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,-0.0,-0.0
2.0,2014-01-21,10,21,CABEACH_WQX-IB-030,32.555139,-117.12932,CA104746,1.52,15.8,239.0,1.909,114,360.0,0.0,1021.4,18.3,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,0.0,-0.0
110.0,2014-12-07,10,341,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.82,19.0,262.0,1.807,64,350.0,0.0,1022.1,20.6,16000.0,0.0,1.0,0.0,27.7,0,3.2487358259183208,0.0,0.0
2.0,2014-12-09,10,343,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,1.11,19.0,268.0,4.035,93,60.0,2.6,1019.4,20.6,16000.0,0.0,1.0,0.0,27.4,1,3.2487358259183208,1.3,-2.3400000000000003
2.0,2014-07-01,10,182,CABEACH_WQX-IB-030,32.555139,-117.12932,CA104746,1.42,23.3,239.0,3.096,1287,270.0,1.5,1012.5,21.1,14484.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,0.75,1.35
42.0,2014-08-12,10,224,CABEACH_WQX-MB-053,32.784102,-117.20933,CA246103,0.31,23.2,258.0,3.828,3874,310.0,2.1,1015.2,23.3,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,1.6800000000000002,1.26
2.0,2014-01-07,10,7,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,0.57,15.4,268.0,3.949,90,160.0,3.1,1021.0,17.2,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-3.1,-0.93
10.0,2014-05-19,10,139,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.35,20.5,262.0,5.114,4145,200.0,3.1,1014.9,17.8,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-2.79,1.55
2.0,2014-09-16,10,259,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,1.28,25.0,264.0,3.493,6039,300.0,2.6,1008.4,29.4,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,1.56,2.08
10.0,2014-11-06,10,310,CABEACH_WQX-EH-010,32.5726652,-117.1332,CA068221,0.86,21.5,266.0,4.602,0,20.0,0.0,1021.0,25.0,14000.0,0.0,1.0,0.0,2.5,1,3.2487358259183208,0.0,-0.0
2.0,2014-04-22,10,112,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,1.27,18.7,259.0,5.084,6852,210.0,1.5,1016.2,16.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.2000000000000002,1.0499999999999998
2.0,2014-06-17,10,168,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,1.14,21.0,267.0,3.818,5078,220.0,0.0,1014.8,21.1,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.0,0.0
10.0,2014-01-15,10,15,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.02,15.7,262.0,3.601,0,280.0,1.5,1023.1,22.8,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.4499999999999999,1.5
10.0,2014-06-30,10,181,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.22,23.2,262.0,1.489,1884,210.0,3.1,1013.3,20.0,14484.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,-2.4800000000000004,1.86
2.0,2014-07-01,10,182,CABEACH_WQX-IB-040,32.562869,-117.13259,CA104746,1.42,23.3,259.0,3.096,1287,270.0,1.5,1012.5,21.1,14484.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,0.3,1.5
5200.0,2014-12-16,10,350,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,1.78,18.6,259.0,3.493,1622,130.0,3.1,1017.6,15.6,16000.0,0.0,1.0,0.0,15.9,1,3.2487358259183208,-2.4800000000000004,-1.86
12000.0,2014-12-18,10,352,CABEACH_WQX-IB-030,32.555139,-117.12932,CA104746,2.06,18.3,239.0,3.818,2113,190.0,2.1,1023.4,15.6,16000.0,1.0,1.0,21.4,37.3,1,3.2487358259183208,-1.6800000000000002,1.47
945.0,2014-10-28,10,301,CABEACH_WQX-MB-060,32.7884,-117.2096,CA891580,1.35,22.9,221.0,4.779,0,290.0,0.0,1016.8,21.1,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.0,0.0
2.0,2014-07-29,10,210,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,0.87,23.6,267.0,4.123,1310,300.0,3.6,1017.3,26.1,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,1.8,2.8800000000000003
2.0,2014-09-23,10,266,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,0.78,24.2,259.0,2.581,3090,300.0,3.1,1015.6,21.7,11265.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,2.17,2.4800000000000004
10.0,2014-07-09,10,190,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,1.13,25.0,268.0,3.949,2281,240.0,2.6,1015.1,22.8,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.3,2.3400000000000003
2.0,2014-09-02,10,245,CABEACH_WQX-IB-040,32.562869,-117.13259,CA104746,1.15,23.8,259.0,4.123,1999,150.0,0.0,1011.3,23.3,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.0,-0.0
2.0,2014-11-18,10,322,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,0.8,20.5,267.0,4.103,1383,180.0,1.5,1021.6,20.0,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.5,0.15
2.0,2014-07-29,10,210,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,0.87,23.6,259.0,2.781,1310,300.0,3.6,1017.3,26.1,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,2.52,2.8800000000000003
1600.0,2014-12-17,10,351,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.93,18.4,262.0,5.491,236,150.0,3.1,1019.1,16.1,16000.0,1.0,1.0,21.4,37.3,1,3.2487358259183208,-2.79,-1.2400000000000002
2.0,2014-05-27,10,147,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,0.88,21.8,259.0,3.211,13938,270.0,2.6,1015.2,21.7,11265.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,0.52,2.6
2.0,2014-02-25,10,56,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,0.86,17.4,264.0,2.899,8602,70.0,0.0,1017.0,17.8,14000.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,0.0,-0.0
600.0,2014-12-21,10,355,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,1.58,18.0,264.0,3.211,0,30.0,2.1,1021.7,16.7,16000.0,0.0,1.0,0.0,21.4,0,3.2487358259183208,1.6800000000000002,-1.26
2.0,2014-08-26,10,238,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,1.56,23.6,264.0,2.808,2493,290.0,2.1,1015.4,24.4,16093.0,0.0,1.0,0.0,0.3,0,3.2487358259183208,0.8400000000000001,1.89
2.0,2014-02-25,10,56,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,0.86,17.4,268.0,2.286,8602,70.0,0.0,1017.0,17.8,14000.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,0.0,-0.0
12000.0,2014-12-19,10,353,CABEACH_WQX-IB-030,32.555139,-117.12932,CA104746,1.48,18.2,239.0,4.123,32,360.0,0.0,1024.1,17.2,16000.0,1.0,1.0,21.4,28.7,1,3.2487358259183208,0.0,-0.0
10.0,2014-09-29,10,272,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.11,23.1,262.0,3.877,30,340.0,2.1,1014.0,21.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,2.1,0.42
2.0,2014-10-14,10,287,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,1.15,23.4,268.0,6.334,805,160.0,0.0,1016.4,21.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.0,-0.0
1200.0,2014-12-04,10,338,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.44,18.8,262.0,2.709,1514,290.0,3.1,1017.9,18.9,16000.0,1.0,1.0,27.7,27.7,0,3.2487358259183208,1.55,2.79
2.0,2014-11-12,10,316,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,0.82,21.0,268.0,2.486,5368,320.0,2.1,1016.5,19.4,16000.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,1.6800000000000002,1.26
10.0,2014-07-09,10,190,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.11,25.0,262.0,1.807,2281,240.0,2.6,1015.1,22.8,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,-1.04,2.3400000000000003
2.0,2014-05-20,10,140,CABEACH_WQX-IB-040,32.562869,-117.13259,CA104746,1.66,20.9,259.0,2.404,823,210.0,2.6,1017.2,18.3,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,-2.08,1.82
10.0,2014-10-09,10,282,CABEACH_WQX-EH-030,32.57875,-117.13318,CA432983,0.86,22.7,268.0,2.486,429,230.0,2.1,1014.7,22.2,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,-1.26,1.6800000000000002
20.0,2014-04-29,10,119,CABEACH_WQX-MB-205,32.77605,-117.2382,CA211999,1.1,19.2,15.0,1.134,899,250.0,1.5,1016.1,28.3,16093.0,0.0,1.0,0.0,4.4,0,3.2487358259183208,-1.2000000000000002,-0.8999999999999999
2.0,2014-04-22,10,112,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,1.27,18.7,268.0,4.491,6852,210.0,1.5,1016.2,16.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.2000000000000002,0.75
31.0,2014-07-09,10,190,CABEACH_WQX-MB-053,32.784102,-117.20933,CA246103,0.62,25.0,258.0,5.937,2281,240.0,2.6,1015.1,22.8,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.78,2.6
10.0,2014-07-23,10,204,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.08,22.7,262.0,3.526,2758,280.0,2.6,1016.2,24.4,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.78,2.6
31.0,2014-11-19,10,323,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,0.53,20.3,262.0,3.162,1,310.0,0.0,1021.0,18.9,16000.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,0.0,0.0
